기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	광진구	중곡2동	884	519	365	414	232	182	79	48	31	94	55	39	120	75	45	5	1	4	50	31	19	11	8	3	48	25	23	44	28	16	-	-	-	5	5	-	4	3	1	-	-	-	7	7	-	3	1	2
2018	광진구	중곡3동	775	468	307	371	205	166	74	46	28	83	57	26	85	52	33	8	7	1	49	29	20	6	6	-	44	28	16	35	19	16	5	4	1	3	3	-	5	5	-	1	1	-	5	5	-	1	1	-
2018	광진구	중곡4동	1,374	790	584	648	362	286	132	81	51	142	85	57	163	92	71	16	11	5	89	51	38	17	16	1	72	30	42	52	28	24	5	5	-	6	4	2	10	9	1	2	1	1	12	10	2	8	5	3
2018	광진구	능동	366	222	144	172	101	71	40	22	18	43	29	14	42	25	17	2	2	-	25	17	8	3	1	2	15	11	4	14	7	7	1	1	-	1	-	1	-	-	-	-	-	-	6	4	2	2	2	-
2018	광진구	구의1동	833	485	348	392	230	162	89	53	36	103	70	33	101	49	52	5	3	2	47	29	18	8	5	3	32	19	13	39	18	21	2	1	1	5	3	2	2	-	2	1	1	-	3	1	2	4	3	1
2018	광진구	구의2동	1,131	685	446	512	303	209	125	76	49	130	90	40	139	84	55	7	6	1	68	39	29	14	13	1	39	18	21	57	28	29	7	5	2	7	7	-	8	5	3	1	1	-	9	5	4	8	5	3
2018	광진구	구의3동	818	438	380	385	210	175	92	49	43	68	31	37	110	55	55	7	6	1	62	35	27	20	15	5	18	8	10	33	15	18	2	2	-	2	-	2	6	4	2	1	1	-	10	5	5	2	2	-
2018	광진구	광장동	731	436	295	326	180	146	84	44	40	84	63	21	76	40	36	6	6	-	55	40	15	14	12	2	25	11	14	33	17	16	2	1	1	3	3	-	13	11	2	-	-	-	9	8	1	1	-	1
2018	광진구	자양1동	902	517	385	433	247	186	90	53	37	107	62	45	102	56	46	5	4	1	53	30	23	10	10	-	34	13	21	43	27	16	4	1	3	6	2	4	3	3	-	1	-	1	5	5	-	6	4	2
2018	광진구	자양2동	975	570	405	453	275	178	109	65	44	87	52	35	122	62	60	6	4	2	79	44	35	17	14	3	36	18	18	35	18	17	1	1	-	11	7	4	8	5	3	1	-	1	6	4	2	4	1	3
2018	광진구	자양3동	867	496	371	370	208	162	104	60	44	88	44	44	127	64	63	10	7	3	49	36	13	20	16	4	23	8	15	51	34	17	3	2	1	4	4	-	7	4	3	-	-	-	10	8	2	1	1	-
2018	광진구	자양4동	929	537	392	466	258	208	87	52	35	94	61	33	99	60	39	6	6	-	53	30	23	2	2	-	48	23	25	54	31	23	-	-	-	3	2	1	5	4	1	1	-	1	9	7	2	2	1	1
2018	동대문구	소계	15,838	9,215	6,623	7,761	4,340	3,421	1,679	997	682	1,547	981	566	2,061	1,156	905	114	87	27	868	561	307	143	119	24	653	340	313	605	360	245	46	33	13	88	70	18	98	62	36	19	9	10	102	67	35	54	33	21
2018	동대문구	회기동	313	178	135	133	70	63	39	28	11	26	15	11	54	30	24	-	-	-	16	7	9	5	4	1	13	5	8	18	12	6	-	-	-	5	4	1	-	-	-	-	-	-	3	3	-	1	-	1
2018	동대문구	휘경1동	601	340	261	299	167	132	63	32	31	63	43	20	67	39	28	5	1	4	31	22	9	6	4	2	28	12	16	25	12	13	1	1	-	2	2	-	4	1	3	1	-	1	5	3	2	1	1	-
2018	동대문구	휘경2동	901	497	404	432	229	203	111	62	49	96	62	34	112	58	54	6	4	2	49	31	18	12	11	1	26	11	15	38	15	23	3	2	1	4	4	-	3	3	-	2	1	1	4	2	2	3	2	1
2018	동대문구	청량리동	1,374	810	564	665	364	301	133	86	47	143	91	52	187	105	82	12	9	3	68	49	19	11	7	4	59	31	28	58	43	15	3	1	2	8	7	1	8	5	3	4	2	2	11	6	5	4	4	-
2018	동대문구	용신동	1,442	857	585	735	429	306	157	102	55	124	81	43	201	109	92	10	5	5	67	45	22	9	7	2	65	34	31	46	26	20	2	2	-	7	6	1	9	5	4	1	1	-	6	3	3	3	2	1
2018	동대문구	제기동	1,329	752	577	639	334	305	137	89	48	141	90	51	198	109	89	8	7	1	64	39	25	5	4	1	54	23	31	49	34	15	6	4	2	4	3	1	5	3	2	1	-	1	9	5	4	9	8	1
2018	동대문구	전농1동	1,526	905	621	747	421	326	146	87	59	150	100	50	210	120	90	10	7	3	95	63	32	12	11	1	70	44	26	48	26	22	3	2	1	6	5	1	9	5	4	1	1	-	12	8	4	7	5	2
